paths,antithetic,repetition,seed_key,value,standard_error,lower,upper,observations,confidence,error,interval_contains_analytical,seconds
2000,True,38,0.78,5.362656850823887,0.14607856792540558,5.076000820400865,5.649312881246909,1000,0.95,-0.21086917143308348,True,7.070800029396196e-05
2000,True,39,0.79,5.573368505789411,0.1477585133461248,5.28341584881487,5.863321162763952,1000,0.95,-0.00015751646756001492,True,7.112499997674604e-05
8000,False,0,0.80,5.614970238484327,0.09741381392033283,5.42401377719634,5.805926699772314,8000,0.95,0.04144421622735628,True,0.00014624999994339305
8000,False,1,0.81,5.682887180999658,0.0974439595755426,5.491871626371513,5.873902735627803,8000,0.95,0.10936115874268726,True,0.00014350000037666177
8000,False,2,0.82,5.594162949718032,0.0975595877201871,5.4029207337937315,5.785405165642333,8000,0.95,0.020636927461061383,True,0.00014408300012291875
8000,False,3,0.83,5.505135511021219,0.09649434842272507,5.315981441720914,5.6942895803215245,8000,0.95,-0.06839051123575146,True,0.00014375000000654836
8000,False,4,0.84,5.621916351111713,0.09745865739183791,5.4308719849333835,5.812960717290042,8000,0.95,0.04839032885474204,True,0.00014404200010176282
8000,False,5,0.85,5.701920404486749,0.09710029741551626,5.511578517250489,5.89226229172301,8000,0.95,0.12839438222977861,True,0.00014333399985844153
8000,False,6,0.86,5.464095736091245,0.09603351239024294,5.275845025508306,5.652346446674184,8000,0.95,-0.10943028616572548,True,0.00014237499999580905
8000,False,7,0.87,5.518820541462539,0.09637193259736511,5.329906439081459,5.707734643843619,8000,0.95,-0.05470548079443205,True,0.00014162500019665458
8000,False,8,0.88,5.603697322131585,0.09680747497889636,5.4139294431805185,5.793465201082651,8000,0.95,0.0301712998746142,True,0.00014224999995349208
8000,False,9,0.89,5.547338377159036,0.09660438170038234,5.357968613959891,5.736708140358181,8000,0.95,-0.026187645097934364,True,0.00014216699992175563
8000,False,10,0.90,5.565711006787886,0.09640129337077992,5.3767393496395055,5.754682663936267,8000,0.95,-0.007815015469084585,True,0.00014224999995349208
8000,False,11,0.91,5.5762715717911915,0.09645578956614793,5.3871930878982015,5.7653500556841815,8000,0.95,0.0027455495342207925,True,0.0001422919999640726
8000,False,12,0.92,5.66832977931108,0.09907378101795046,5.474119349924946,5.862540208697213,8000,0.95,0.09480375705410893,True,0.00014379200001712888
8000,False,13,0.93,5.4951818344675125,0.09560579964690208,5.307769552323305,5.68259411661172,8000,0.95,-0.07834418778945818,True,0.00014299999975264654
8000,False,14,0.94,5.622714845621,0.09637786084061212,5.433789122338258,5.8116405689037425,8000,0.95,0.04918882336402941,True,0.00014387500004886533
